                   #time                  radius                porosity               viscosity
  6.000000000000000E+001  3.831256020420224E-004  9.592777074267230E-001  1.286815584286973E+002
  6.050000000000000E+001  3.832056312111486E-004  9.593021774638676E-001  1.542830907631056E+002
  6.100000000000000E+001  3.832811854009606E-004  9.593252616064462E-001  1.857061484217323E+002
  6.150000000000000E+001  3.833524966613479E-004  9.593470337298173E-001  2.244752522694457E+002
  6.200000000000000E+001  3.834197860392731E-004  9.593675639826696E-001  2.725805954514616E+002
  6.250000000000000E+001  3.834832638485280E-004  9.593869189094142E-001  3.326452310171788E+002
  6.300000000000000E+001  3.835431298795025E-004  9.594051615504401E-001  4.081629067432298E+002
  6.350000000000000E+001  3.835995735289645E-004  9.594223515145486E-001  5.038415889838064E+002
  6.400000000000000E+001  3.836527738263009E-004  9.594385450167783E-001  6.261080394025880E+002
  6.450000000000000E+001  3.837028993137140E-004  9.594537948690608E-001  7.838628543819991E+002
  6.500000000000000E+001  3.837501077025163E-004  9.594681504003968E-001  9.896339144428573E+002
  6.550000000000000E+001  3.837945451959446E-004  9.594816572736387E-001  1.261379782030909E+003
  6.600000000000000E+001  3.838363452739914E-004  9.594943571371827E-001  1.625383899898244E+003
  6.650000000000000E+001  3.838756266310497E-004  9.595062870181902E-001  2.121039238060532E+003
  6.700000000000000E+001  3.839124897212364E-004  9.595174782925120E-001  2.809031651413002E+003
  6.750000000000000E+001  3.839470110246767E-004  9.595279549631204E-001  3.785897654739671E+003
  6.800000000000000E+001  3.839792335727716E-004  9.595377308047849E-001  5.211142636755016E+003
  6.850000000000000E+001  3.840091514422587E-004  9.595468046821705E-001  7.360597033974660E+003
  6.900000000000000E+001  3.840366851221430E-004  9.595551531050063E-001  1.073857048925045E+004
  6.950000000000000E+001  3.840616449651556E-004  9.595627191776014E-001  1.633364351389380E+004
  7.000000000000000E+001  3.840836852371468E-004  9.595693987053173E-001  2.626571091550401E+004
  7.050000000000000E+001  3.841022698950676E-004  9.595750298550816E-001  4.566186910083780E+004
  7.100000000000000E+001  3.841167133465036E-004  9.595794055126963E-001  8.922817772519690E+004
  7.150000000000000E+001  3.841264122118214E-004  9.595823434464082E-001  2.118692229788075E+005
  7.200000000000000E+001  3.841313563349403E-004  9.595838409891876E-001  7.437298700250142E+005
  7.250000000000000E+001  3.841327268130945E-004  9.595842560852987E-001  8.926526559295164E+006
  7.300000000000000E+001  3.841327812787741E-004  9.595842725819749E-001  1.000000000000000E+010
